date,site,depth,ind,fertile,frond_mass,primary_length,primary_width,frond_length,stipe_mass,stipe_length,stipe_circ,tufts,epi_length,total_length
12-09-2018,Kalk_Bay,shallow/adult,6,No,0.2,11,9,51,0.5,80,16,3,1,142
12-09-2018,Kalk_Bay,shallow/adult,7,No,1.8,17,11,103,0.75,120,19,3,1,240
12-09-2018,Kalk_Bay,shallow/adult,8,No,1.25,21,9,96,1,178,15,5,1,295
12-09-2018,Kalk_Bay,shallow/adult,9,Yes,0.95,14,10,137,1,150,22,4,1,301
12-09-2018,Kalk_Bay,shallow/adult,10,No,0.6,17,10,109,0.85,139,19,5,1,265
12-09-2018,Kalk_Bay,shallow/adult,11,Yes,0.5,17,10,75,0.85,146,11,4,1,238
12-09-2018,Kalk_Bay,shallow/adult,12,No,1.65,23,16,110,1.65,168,16,3,1,301
12-09-2018,Kalk_Bay,deep/adult,1,No,0.55,15,6,65,0.6,103,14,3,1,183
12-09-2018,Kalk_Bay,deep/adult,2,No,0.55,14,7,80,0.7,95,13,4,1,189
12-09-2018,Kalk_Bay,deep/adult,3,Yes ,0.6,10,5,88,0.45,83,12,3,1,181
12-09-2018,Kalk_Bay,deep/adult,4,No ,1.1,11,6,117,0.8,108,14,3,1,236
12-09-2018,Kalk_Bay,deep/adult,5,Yes,1.15,19,7,80,0.55,89,12,3,1,188
12-09-2018,Kalk_Bay,deep/adult,6,Yes,0.45,13,7,65,0.75,116,14,3,1,194
12-09-2018,Kalk_Bay,deep/adult,7,No,0.2,10,5,42,0.2,50,9,3,1,102
12-09-2018,Kalk_Bay,deep/adult,8,Yes,0.65,10,9,70,0.85,104,16,3,1,184
12-09-2018,Kalk_Bay,deep/adult,9,Yes ,0.4,13,6,48,0.7,123,13,3,1,184
12-09-2018,Kalk_Bay,deep/adult,10,No,0.4,12,4,87,0.45,83,12,3,1,182
12-09-2018,Kalk_Bay,deep/adult,11,No,0.5,11,7,95,0.55,78,13,3,1,184
12-09-2018,Kalk_Bay,deep/adult,12,Yes ,0.95,12,8,85,0.5,58,14,2,1,155
8-10-2018,Buffels_Bay,deep/adult,1,Yes,1.5,12,11,116,0.75,101,18.5,3,1,229
8-10-2018,Buffels_Bay,deep/adult,2,No,1.4,11,12.5,125,0.95,130,14.5,3,1,266
8-10-2018,Buffels_Bay,deep/adult,3,No,0.6,8,9,87,0.55,72,13,3,1,167
8-10-2018,Buffels_Bay,deep/adult,4,No,2.35,13,10.5,123,1.3,119,20,3,1,255
8-10-2018,Buffels_Bay,deep/adult,5,Yes,1.45,14,9.5,120,0.8,98,19.5,3,1,232
8-10-2018,Buffels_Bay,deep/adult,6,Yes,0.6,8,5,102,0.4,89,8.5,3,1,199
8-10-2018,Buffels_Bay,deep/adult,7,No,1.25,14,7,105,0.75,128,17,4,1,247
8-10-2018,Buffels_Bay,deep/adult,8,No,0.5,10,5,106.5,0.7,127,10,4,1,243.5
8-10-2018,Buffels_Bay,deep/adult,9,No,1.4,13,6,150,0.25,142.5,11.5,5,1,305.5
8-10-2018,Buffels_Bay,deep/adult,10,Yes,1,12,15,95,1,105.5,23,3,1,212.5
8-10-2018,Buffels_Bay,deep/adult,11,Yes,1,13,12,96.5,0.75,83,24,3,1,192.5
8-10-2018,Buffels_Bay,deep/adult,12,Yes,1.55,12,14,139,1.1,160,21.5,2,1,311
8-10-2018,Black_Rocks,deep/adult,1,No,1,11,9,128.5,0.8,127,23,3,1,266.5
8-10-2018,Black_Rocks,deep/adult,2,No,2.05,12,11.5,148,0.9,140,22,4,1,300
8-10-2018,Black_Rocks,deep/adult,3,No,2,21,10.5,133.5,0.7,129,19,4,1,283.5
8-10-2018,Black_Rocks,deep/adult,4,No,1.25,15,7,157.5,0.5,96.5,16,4,1,269
8-10-2018,Black_Rocks,deep/adult,5,Yes,1.55,16,13,135,0.7,129,18,4,1,280
8-10-2018,Black_Rocks,deep/adult,6,No,1.7,14.5,10,116,0.9,141,20.5,4,1,271.5
8-10-2018,Black_Rocks,deep/adult,7,Yes,1.7,19,14,173,0.75,163,18,4,1,355
8-10-2018,Black_Rocks,deep/adult,8,No,1.65,18,11,164.5,1.2,165,24,4,1,347.5
8-10-2018,Black_Rocks,deep/adult,9,No,1.8,21,17,162,1,155,20.5,4,1,338
8-10-2018,Black_Rocks,deep/adult,10,Yes,1.1,13,13,155,0.85,161,19.5,3,1,329
8-10-2018,Black_Rocks,deep/adult,11,Yes,1,17,11,143.5,0.8,148,17.5,4,1,308.5
8-10-2018,Black_Rocks,deep/adult,12,Yes,2.25,15.5,13,139.5,0.8,158,22,3,1,313
8-10-2018,Olifantsbos,deep/adult,1,No,1.3,19.5,13,142.5,1.4,148,23,4,1,310
8-10-2018,Olifantsbos,deep/adult,2,Yes,1.95,20,9,186.5,0.9,114,21.5,4,1,320.5
8-10-2018,Olifantsbos,deep/adult,3,Yes,1.35,26,12,83,1.85,106,21,4,1,215
8-10-2018,Olifantsbos,deep/adult,4,Yes,2.05,20,8,154,0.9,143.5,16.5,4,1,317.5
8-10-2018,Olifantsbos,deep/adult,5,Yes,0.95,18.5,8,131,0.75,114,16,4,1,263.5
8-10-2018,Olifantsbos,deep/adult,6,Yes,1.55,21.5,10,108,0.8,96.5,21.5,5,1,226
8-10-2018,Olifantsbos,deep/adult,7,No,0.4,19,8,86.5,0.5,88,12.5,3,1,193.5
8-10-2018,Olifantsbos,deep/adult,8,Yes,2.45,21,9,190,0.6,94,14,4,1,305
8-10-2018,Olifantsbos,deep/adult,9,No,1.15,22.5,7.5,111,0.8,126,15,4,1,259.5
8-10-2018,Olifantsbos,deep/adult,10,Yes,1.45,22,7.5,87,0.45,91,11.5,4,1,200
8-10-2018,Olifantsbos,deep/adult,11,Yes,0.65,16,9,113.5,0.25,78.5,12,2,1,208
8-10-2018,Olifantsbos,deep/adult,12,Yes,1.35,21,6.5,141,0.4,65,14.5,5,1,227
